sect_id,section_name,item_id,item_type,is_agent_option,sect_next,agent_personality,text_ja,text_en
0,name,0,description,-,-,-,あなたは、真っ暗な部屋の中で目を覚ます。,You wake up in a dark room.
0,name,1,description,-,-,-,自分が誰なのか、何が起きたのかも思い出せない。,You can't remember who you are or what happened before.
0,name,2,description,-,-,-,*…ブルル*,*… bzzzt*
0,name,3,description,-,-,-,あなたが腕につけているスマートウォッチから軽い振動が伝わってくる。,Your smartwatch vibrates.
0,name,4,description,-,-,-,スクリーンに手を伸ばすと、突然、メッセージが現れる：,"You reach for the screen, and suddenly a voice pops-up:"
0,name,5,agent_speech,-,-,orig,謎の声：「私はカイです。ここ、アルファ・リサーチ・センターであなたをサポートするAIアシスタントです。サポートを開始するには、声に出して名前を教えてください。」,"The Voice: ""Hello, my name is KAI. I'm your AI assistant here at Alpha Research Center. To begin, please state your name."""
0,name,5,agent_speech,-,-,butler,「私はカイと申します。ここ、アルファ・リサーチ・センターであなたをサポートさせていただくAIアシスタントです。サポートを開始するために、お名前を伺ってもよろしいでしょうか？」,"""Hello, my name is KAI. I am your AI assistant here at Alpha Research Center. May I have your name, please?"""
0,name,5,agent_speech,-,-,friend,「わたしはカイ！アルファ・リサーチ・センターで君のお手伝いをするAIアシスタントさ！君のことは何と呼べばいいかな？」,"""Hi! This is KAI. So good to see you today at Alpha Research Center! Is there a name I can call you by?”"
0,name,,option,true,1,-,[[「覚えていません」]],"[[""I don't remember it.""]]"
0,name,,option,false,1,-,[[「名前？」]],"[[""My name?""]]"
1,fingerprint,0,agent_speech,-,-,orig,カイ：「声の分析から、あなたが私のデータベースに登録されている、ここの従業員の一人と確認できました。」 ,"KAI: ""My voice analysis confirms that your voice matches one of the employee records in my database."""
1,fingerprint,0,agent_speech,-,-,butler,「お声を分析したところ、あなたは私のデータベースに登録されている、ここの従業員の一人と確認できました。」 ,"“Your voice indicates that you are in fact a member of this facility, according to my database.”"
1,fingerprint,0,agent_speech,-,-,friend,「聞いたことのある声だと思ったら、やっぱり君は、わたしのデータベースに載ってるここの従業員の一人だったんだね。」,“You sound familiar! Your voice matches with one of the employee records I have.”
1,fingerprint,1,agent_speech,-,-,orig,カイ：「でも、あなたのファイルを取り込むには、指紋など、追加の認証データが必要です。」,"KAI: ""But I'll need more identification to retrieve your files, such as your fingerprint."""
1,fingerprint,1,agent_speech,-,-,butler,「ただ、あなたのファイルを取り込むには、指紋など、追加の認証データが必要です。」,"“However, could you provide another authentication for me to retrieve your files? Your fingerprint is acceptable.”"
1,fingerprint,1,agent_speech,-,-,friend,「だけど、君のファイルを取り込むには、指紋とか、追加の認証データがいるんだ。」,"“But, we're gonna need more identification to get to your files, like your fingerprint.” "
1,fingerprint,,option,true,2,-,[[指をスマートウォッチに押し当てる]],[[Put your finger on the watch]]
1,fingerprint,,option,false,2,-,[[何もしない]],[[Do nothing]]
2,lockdown,0,description,-,-,-,突然、部屋の外で大きなサイレンが鳴り始める。,"Suddenly, you hear a loud siren from outside the room."
2,lockdown,1,description,-,-,-,一体、何が起きたのだろう。,You wonder what just happened.
2,lockdown,2,agent_speech,-,-,orig,カイ：「建物がロックダウンされた合図です。システムやデータベースに接続する私のアクセス権も一部が無効化されました。」,"KAI: ""That's the signal for building lockdown. My access to the system and database has also been partially disabled."""
2,lockdown,2,agent_speech,-,-,butler,「これは建物がロックダウンされた信号です。システムやデータベースに接続する私のアクセス権も一部が無効になりました。」,“That is the signal for a building lockdown. My access to the system and database has also been disabled partially.”
2,lockdown,2,agent_speech,-,-,friend,「まずい、施設がロックダウンされた！わたしのシステムやデータベースへの接続も少しやられたな。」,"“Ugh, that means the building has been locked down. I’ve lost access to some parts of the system and database, too.”"
2,lockdown,3,agent_speech,-,-,orig,カイ：「おそらく、良くある誤報でしょう。」,"KAI: ""It's most likely just a false alarm like always, though."""
2,lockdown,3,agent_speech,-,-,butler,「おそらく、良くある誤報だと考えられます。」,"“Although it’s very likely another false alarm, like always.”"
2,lockdown,3,agent_speech,-,-,friend,「でもたぶん、よくある誤報だから心配ないよ。」,"“Don’t worry! It’s got to be a false alarm, like it generally is!”"
2,lockdown,,option,false,3.1,-,[[「本当にそう？」]],"[[""How can you be so sure?""]]"
2,lockdown,,option,true,3,-,[[「では、どうしたらいい？」]],"[[""What should we do next?""]]"
